english,class,swedish,arabic,somali,persian,ukrainian,polish,spanish,bosnian,albanian
minimum,"(noun, adjective)",minimum,الحد الأدنى,heer ugu yar,کمترین,мінімум,minimum,mínimo,minimum,minimal
path,"(noun, idiom)",väg,طريق,dhabbe,مسیر,шлях,ścieżka,camino,put,rrugë
progress,"(noun, verb, idiom)",framsteg,تقدم,horusocod,پیش رفتن,прогресувати,postęp,progreso,napredak,përparoj
project,"(noun, verb)",projekt,مشروع,mashruuc,طرح,демонструвати,projekt,proyecto,projekat,projekt
sea,"(noun, adjective, idiom)",hav,بحر,bad,دریا,море,morze,mar,more,det
south,"(noun, adjective, adverb)",söder,جنوب,Koonfur,جنوب,південь,południe,sur,južno,jug
status,"(noun, adjective)",status,حالة,darajo,وضعیت,статус,status,estado,status,gjendje
stuff,"(noun, verb)",grejer,أشياء,walax,چیز,нагода,rzeczy,cosa,upiti,gjëra
ticket,"(noun, verb, idiom)",biljett,تذكرة,tigidh,بلیط,квиток,bilet,boleto,ulaznica,biletë
tour,"(noun, verb)",Turné,رحلة,safar,تور,екскурсія,wycieczka,recorrido,obilazak,turne
angle,"(noun, verb)",vinkel,زاوية,xagal,زاویه,кут,kąt,ángulo,ugao,kënd
blue,"(noun, verb, adjective)",blå,أزرق,buluug,آبی,блакитний,niebieski,azul,plavi,blu
breakfast,"(noun, verb)",frukost,إفطار,quraac,صبحانه,сніданок,śniadanie,desayuno,doručak,mëngjes
confidence,"(noun, idiom)",förtroende,ثقة,kalsooni,اعتماد به نفس,впевненість,zaufanie,confianza,povjerenje,besim
daughter,"(noun, adjective)",dotter,بنت,inanta,فرزند دختر,дочка,córka,hija,kćer,vajzë
degree,"(noun, idiom)",grad,درجة,qiyaas,درجه,ступінь,stopień,grado,stepen,shkallë
doctor,"(noun, verb)",läkare,طبيب,dhakhtarad,پزشک,лікар,lekarz,doctor,doktor,mjekoj
dot,"(noun, verb, idiom)",punkt,نقطة,dhibco,نقطه,крапка,kropka,punto,tačka,pikë
dream,"(noun, verb, adjective)",dröm,حلم,riyoodid,رویا,мріяти,marzenie,sueño,sanjati,ëndërr
duty,"(noun, idiom)",plikt,واجب,cashuur,وظیفه,обов'язок,obowiązek,deber,dužnost,detyrë
essay,"(noun, verb)",uppsats,مقال,wax qoraal,مقاله,нарис,Praca pisemna,ensayo,esej,ese
father,"(noun, verb)",far,أب,aabbe,پدر,батько,ojciec,padre,otac,baba
fee,"(noun, verb)",avgift,مصاريف,ujro,هزینه,гонорар,opłata,tarifa,naknada,tarifë
finance,"(noun, verb)",finansiera,تمويل,maal gelin,دارایی، مالیه، سرمایه گذاری,фінансування,finanse,finanzas,finansije,financoj
hour,"(noun, adjective, idiom)",timme,ساعة,saacad,یک ساعت,година,godzina,hora,sat,orë
juice,"(noun, verb, idiom)",juice,عصير,casiir,آب میوه,сік,sok,jugo,sok,luksoz
limit,"(noun, verb)",begränsa,حد,xadayn,حد,обмежувати,limit,límite,ograničiti,kufizoj
luck,"(noun, verb, idiom)",tur,حظ,nasiib,شانس,удача,szczęście,suerte,sreća,fat
milk,"(noun, verb, idiom)",mjölk,لبن,caano,شیر,молоко,mleko,leche,mlijeko,qumësht
mouth,"(noun, verb, idiom)",mun,فم,af,دهان,рота,usta,boca,usta,gojë
peace,"(noun, interjection, verb)",fred,سلام,nabad,صلح,мир,pokój,paz,mir,paqe
pipe,"(noun, verb)",rör,يضخ,tuubbo,لوله,труба,rura,tubo,cijev,tub
seat,"(noun, verb)",plats,مقعد,fadhi,جایگاه,місце,siedziba,asiento,sjedalo,vend
stable,"(noun, verb)",stabil,مستقر,xasillan,پایدار,конюшня,stabilny,estable,stabilan,i qëndrueshëm
storm,"(noun, verb, idiom)",storm,عاصفة,dabayl,طوفان,штурм,burza,tormenta,oluja,stuhi
substance,"(noun, idiom)",ämne,مادة,walax,ماده,речовина,substancja,sustancia,supstanca,substancë
team,"(noun, verb, adjective)",team,فريق,koox,تیم,команда,zespół,equipo,timu,skuadër
trick,"(noun, adjective, verb)",lura,حيلة,khiyaamo,فوت و فن,хитрість,sztuczka,truco,trik,mashtrim
afternoon,"(noun, adjective)",eftermiddag,بعد الظهر,galabnimo,بعد از ظهر,післяобідній,popołudnie,tarde,popodne,pasdite
bat,"(noun, verb)",fladdermus,مضرب,fiid-meer,خفاش,кажан,nietoperz,murciélago,bat,shkop
beach,"(noun, verb)",strand,شاطئ,xeeb,ساحل دریا,Пляжний,plaża,playa,plaža,plazh
blank,"(noun, verb, adjective)",tom,فارغ,bannaan,جای خالی,порожній,pusty,blanco,prazan,i zbrazët
catch,"(noun, verb)",fånga,يمسك,qabasho,گرفتن,виловити,złapać,atrapar,uhvatiti,kapje
chain,"(noun, verb)",kedja,سلسلة,Silsilad,زنجیر,ланцюг,łańcuch,cadena,lanac,zinxhir
consideration,"(noun, idiom)",hänsyn,اعتبار,dhawris shucuur dad,توجه,розгляд,namysł,consideración,razmatranje,vlerësim
cream,"(noun, verb, adjective)",grädde,كريم,laban,کرم رنگ,вершковий,krem,crema,krema,krem
crew,"(noun, verb)",besättning,طاقم,koox,خدمه,екіпаж,załoga,multitud,posada,ekuipazh
detail,"(noun, verb, idiom)",detalj,التفاصيل,qayb yar,شرح,деталь,Szczegół,detalle,detalj,detyrë
gold,"(noun, adjective)",guld,ذهب,dehab,طلا,золото,złoto,oro,zlato,i artë
interview,"(noun, verb)",intervju,مقابلة,kulan wareysi ah,مصاحبه,співбесіда,wywiad,entrevista,intervju,intervistë
kid,"(noun, verb, adjective)",unge,طفل,cunug,بچه,діло,dziecko,niño,dječji,fëmijë
mark,"(noun, verb, idiom)",markera,علامة,calaamadin,علامت,позначати,ocena,marca,označiti,shenjë
match,"(noun, verb)",match,مباراة,is lahaansho,همخوانی داشتن,поєднувати,mecz,fósforo,podudarati,ndeshje
mission,"(noun, adjective)",uppdrag,مهمة,shaqada,مأموریت,місія,misja,misión,misija,mision
pain,"(noun, verb, idiom)",smärta,ألم,xanuun,درد,біль,ból,dolor,bol,dhimbje
pleasure,"(noun, verb)",nöje,سرور,raaxo,لذت,задоволення,przyjemność,placer,zadovoljstvo,kënaqësi
score,"(noun, verb, idiom)",Göra,نتيجة,gool,نمره,забивати,wynik,puntaje,ocijeniti,notë
screw,"(noun, verb, idiom)",skruva,أفسد,bool,پیچ,гвинт,śruba,tornillo,vijak,vidhos
sex,"(noun, verb, idiom)",sex,الجنس,jinsi,ارتباط جنسی,секс,seks,sexo,seks,seks
shop,"(noun, verb, interjection)",affär,محل,dukaan,مغازه,магазин,sklep,comercio,prodavnica,dyqan
shower,"(noun, verb, idiom)",dusch,دش,roob shuux ah,دوش,душ,prysznic,ducha,tuš,dush
suit,"(noun, verb, idiom)",kostym,بدلة,suud,کت و شلوار,костюм,garnitur,traje,odijelo,përshtat
tone,"(noun, verb)",tona,نغمة,midab,لحن,тон,ton,tono,ton,ton
window,"(noun, verb)",fönster,نافذة او شباك,daaqad,پنجره,віконний,okno,ventana,prozor,dritare
agent,"(noun, adjective, verb)",ombud,عامل,shirkadley,عامل,агент,agent,agente,agent,agjent
band,"(noun, verb)",band,فرقة,urur,باند,гурт,zespół,banda,opseg,shirit
block,"(noun, verb)",blockera,حاجز,joojinta,مسدود کردن,блок,blok,bloquear,blok,bllok
bone,"(noun, verb, adverb)",ben,عظم,laf,استخوان,кістка,kość,hueso,kost,kockë
calendar,"(noun, verb)",kalender,تقويم,jadwal taariikh,تقویم,календар,kalendarz,calendario,kalendar,kalendar
cap,"(noun, verb)",keps,قبعة,dabool,کلاه لبه دار,шапка,czapka,gorra,kapa,kapak
coat,"(noun, verb)",täcka,معطف,xaad xayawaan,روکش,покриття,płaszcz,abrigo,kaput,pallto
contest,"(noun, verb)",tävling,منافسة,loollan,مشاجره,змагання,konkurs,concurso,natjecanje,kundërvajtje
corner,"(noun, adjective, verb)",hörn,ركن,gees,گوشه,куточок,narożnik,esquina,ugao,qoshe
court,"(noun, verb, idiom)",domstol,محكمة,maxkamad,دادگاه,суд,sąd,corte,sud,gjykatë
cup,"(noun, verb)",kopp,كوب,koob,فنجان,чашка,filiżanka,taza,šolja,gotë
district,"(noun, verb)",distrikt,يصرف,degmo,ناحیه,район,dzielnica,distrito,okrug,rreth
door,"(noun, idiom)",dörr,باب,albaab,در، درب,дверима,drzwi,puerta,vrata,dere
east,"(noun, adjective, adverb)",österut,شرق,bari,شرق,схід,wschód,este,istok,Lindja
finger,"(noun, verb, idiom)",finger,اصبع اليد,far,انگشت,палець,palec,dedo,prst,gisht
garage,"(noun, verb)",garage,كراج,garaash,گاراژ,гараж,garaż,cochera,garaža,garazh
guarantee,"(noun, verb)",garanti,يضمن,ballan qaadasho,ضمانت,гарантія,gwarancja,garantizar,garantovati,garanci
hole,"(noun, verb, idiom)",hål,فتحة,dalool,سوراخ,дірка,otwór,agujero,rupa,vrimë
hook,"(noun, verb, idiom)",krok,خطاف,jillaab,قلاب,гачок,hak,gancho,kuka,grep
implement,"(noun, verb)",genomföra,ينفذ,qalabayn,پیاده سازی,реалізація,wprowadzić w życie,implementar,implementirati,zbatoj
layer,"(noun, verb)",lager,طبقة,daaha,لایه,шар,warstwa,capa,sloj,avokat
lecture,"(noun, verb)",föreläsning,محاضرة,cashar,سخنرانی,лекція,wykład,conferencia,predavanje,leksion
lie,"(noun, verb, idiom)",lögn,كذب,been sheegid,دروغ,лежати,kłamstwo,mentir,laž,gënjeshtër
manner,"(noun, idiom)",sätt,طريقة,hab wax u dhacaan,شیوه,манера,sposób,manera,način,mënyrë
meeting,"(noun, idiom)",möte,مقابلة,kulan,ملاقات,зустріч,spotkanie,reunión,sastanak,takim
nose,"(noun, verb, idiom)",näsa,أنف,sanka,بینی,ніс,nos,nariz,nos,hundë
parking,"(noun, adjective)",parkering,موقف سيارات,gaari dhigasho,توقفگاه خودرو,парковка,parking,estacionamiento,parking,parkim
partner,"(noun, verb)",partner,شريك,jaalkaa,شریک,партнер,partner,pareja,partner,partner
profile,"(noun, verb)",profil,حساب تعريفي,muuqaal,مشخصات,профіл,profil,perfil,profil,profil
respect,"(noun, verb)",respekt,احترام,xushmo,توجه,повага,szacunek,respeto,poštovanje,respekt
rice,"(noun, verb)",ris,أرز,bariis,برنج,рис,Ryż,arroz,riža,oriz
routine,"(noun, adjective)",rutin,نمط,jid mar kasta loo raaco,روال,звичайний,rutyna,rutina,rutina,rutinë
schedule,"(noun, verb)",schema,جدول,jadwal,برنامه,розклад,harmonogram,cronograma,raspored,planifikoj
swimming,"(noun, adjective)",simning,سباحة,dabaasha,شنا كردن,плавання,pływanie,nadar,plivanje,not
telephone,"(noun, verb)",telefon,هاتف,taleefoon,تلفن,телефон,telefon,teléfono,telefon,telefonoj
tip,"(noun, verb)",dricks,نصيحة,fiin,نکته,порада,wskazówka,consejo,savet,tip
winter,"(noun, adjective, verb)",vinter,شتاء,jiilaal,زمستان,зима,zima,invierno,zima,dimër
airline,"(noun, adjective)",flygbolag,شركة طيران,shirkad dayuuro iska leh,هواپیمایی,авіакомпанія,linia lotnicza,aerolínea,aviokompanija,kompani ajrore
bag,"(noun, verb)",väska,شنطة,boorso,کیسه,мішок,torba,bolsa,torba,çantë
battle,"(noun, verb)",slåss,معركة,dagaal,نبرد,битва,bitwa,batalla,bitka,betejë
bed,"(noun, verb)",säng,سرير,sariir,بستر,ліжко,łóżko,cama,krevet,shtrat
bill,"(noun, verb)",räkningen,فاتورة,qodob,لایحه,законопроект,rachunek,factura,račun,fature
bother,"(noun, verb)",besvära sig,يزعج,dhibaato,زحمت,турбувати,silić się,molestar,gnjaviti,shqetësoj
cake,"(noun, verb)",kaka,كيك,doolshe,کیک,торт,ciasto,pastel,kolač,torkë
code,"(noun, verb)",koda,شفرة,baaq sir ah,رمز,кодування,kod,código,kodeks,kodifikim
curve,"(noun, verb, idiom)",kurva,منحنى,qallooc,منحنی,крива,krzywa,curva,krivulja,kurbë
designer,"(noun, adjective)",designer,مصمم,naqshadeeye,طراح,дизайнер,projektant,diseñador,dizajner,stilist
dimension,"(noun, verb)",dimensionera,البعد,cabbir dhan kasta ah,بعد، ابعاد، اندازه,вимір,wymiar,dimensión,dimenzija,dimension
dress,"(noun, adjective, verb)",klänning,فستان,dhar,لباس,плаття,sukienka,vestido,haljina,vishem
ease,"(noun, verb)",lätthet,يُسَهّل,sahal,سهولت,полегшити,łatwość,facilidad,olakšati,lehtësi
emergency,"(noun, adjective)",nödsituation,طارئ,xaalad deg deg ah,اضطراری,надзвичайний,nagły wypadek,emergencia,hitan,urgjencë
evening,"(noun, adjective)",kväll,مساء,fiid,شب,вечір,wieczór,noche,večer,mbrëmje
extension,"(noun, adjective)",förlängning,امتداد,dheeraad,افزونه,подовження,rozszerzenie,extensión,proširenje,zgjerim
farm,"(noun, verb, idiom)",odla,مزرعة,beer,مزرعه,господарство,gospodarstwo rolne,granja,farma,fermë
fight,"(noun, verb)",bekämpa,يعارك,dagaalamid,مبارزه کردن,боротьба,walka,luchar,boriti se,përleshje
gap,"(noun, verb)",glipa,فجوة,dalool,شکاف,розрив,luka,brecha,jaz,boshllëk
grade,"(noun, verb)",kvalitet,درجة,heer u qaybin,مقطع تحصیلی,сорт,stopień,calificación,razred,gradë
holiday,"(noun, adjective, verb)",Semester,عطلة,ciid,تعطیل,свято,wakacje,día festivo,odmor,festë
horror,"(noun, adjective)",Skräck,رعب,naxdin,وحشت,жах,przerażenie,horror,horor,tmerr
horse,"(noun, verb, adjective)",häst,حصان,faras,اسب,коня,koń,caballo,konj,kalorës
host,"(noun, verb)",värd,يستضيف,marti,میزبان,господар,gospodarz,anfitrión,domaćin,mikpritës
husband,"(noun, verb)",Make,زوج,nin,شوهر,чоловік,mąż,marido,muž,njeri
loan,"(noun, verb, idiom)",lån,يُقرض,deyn,وام,позика,pożyczka,préstamo,zajam,hua
mistake,"(noun, verb, idiom)",misstag,خطأ,khalad,اشتباه,помилка,błąd,error,greška,gaboj
mountain,"(noun, adjective, idiom)",fjäll,جبل,buur,کوه,гора,Góra,montaña,planinski,mali
nail,"(noun, verb, idiom)",nagel,مسمار,musbaar,ناخن - میخ,цвях,gwóźdź,clavo,nokat,gozhdë
noise,"(noun, verb)",ljud,ضوضاء,buuq,سر و صدا,шум,hałas,ruido,buka,zhurmë
occasion,"(noun, verb, idiom)",tillfälle,مناسبات,munaasabad,مناسبت,нагода,okazja,ocasión,prigodno,rast
package,"(noun, verb)",paket,طَرد,baakad,بسته بندی کردن,пакет,pakiet,paquete,paket,pako
patient,"(noun, adjective)",patient,مريض,dulqaad leh,صبور,пацієнт,pacjent,paciente,pacijent,i durueshëm
pause,"(noun, verb, idiom)",paus,يوقف,hakin,مکث,пауза,pauza,pausa,pauza,bëj pauzë
phrase,"(noun, verb)",fras,عبارة,jumlo gaaban,عبارت,фраза,wyrażenie,frase,fraza,frazë
proof,"(noun, adjective, verb)",bevis,دليل,Cadayn,اثبات,обстеження,dowód,prueba,dokaz,provë
race,"(noun, verb)",lopp,سباق,qolo,مسابقه,гонка,wyścig,carrera,utrka,garë
relief,"(noun, idiom)",lättnad,اِرتِياح,caawimo,تسکین,полегшення,ulga,alivio,olakšanje,lehtësim
sand,"(noun, verb, idiom)",sand,رمل,ciid,شن,пісок,piasek,arena,pijesak,rërë
sentence,"(noun, verb)",mening,جملة,xukumid,جمله,речення,zdanie,oración,rečenica,fjali
shoulder,"(noun, verb, idiom)",axel,كتف,garab,شانه,плече,ramię,hombro,rame,shpatull
smoke,"(noun, verb, idiom)",rök,دخان,sigaar cabbid,دود,палити,palić,fumar,dim,tymos
stomach,"(noun, verb)",mage,معدة,calool,معده,шлунок,żołądek,estómago,stomak,stomak
string,"(noun, verb, idiom)",sträng,خيط,xarig,رشته,нитка,strunowy,cadena,niz,varg
tourist,"(noun, adverb)",turist,السياحة,tamashleyso,گردشگر,турист,turysta,turista,turist,turist
towel,"(noun, verb)",handduk,منشفة,shukumaan,حوله,рушник,ręcznik,toalla,ručnik,peshqir
vacation,"(noun, verb)",semester,أجازة,fasax,تعطیلات,відпустка,wakacje,vacaciones,odmor,pushime
west,"(noun, adjective, adverb)",väst,الغرب,galbeed,غرب,захід,Zachód,Oeste,zapad,perëndim
wheel,"(noun, verb, idiom)",hjul,عجلة,shag,چرخ,колесо,koło,rueda,kotač,rrotë
wine,"(noun, adjective, verb)",vin,خمر,khamri,شراب,вино,wino,vino,vino,verë
arm,"(noun, verb)",ärm,ذراع,gacan,بازو,рукоятка,ramię,brazo,ruk,armatos
aside,"(noun, adverb)",åt sidan,جانبا,gees,گذشته از,убік,na bok,aparte,sa strane,përveç
associate,"(noun, verb, adjective)",associera,شريك,nin isku xirid ah,وابسته,асоційований,współpracownik,asociado,saradnik,shoqërohem
bet,"(noun, verb)",slå vad,رهان,sharad ku hayn,شرط,ставити,Zakład,apuesta,okladiti se,bast
blow,"(noun, verb)",blåsa,ينفخ,afuufid,فوت کردن، دمیدن,удар,cios,explotar,udarac,goditje
border,"(noun, verb)",gräns,حدود,xudduud,مرز,кордон,granica,borde,granica,kufi
branch,"(noun, verb)",gren,فرع,laan,شاخه,гілка,oddział,rama,grana,degë
breast,"(noun, verb)",bröst,صدر,naas,پستان,грудка,pierś,mama,grudi,gjoks
brother,"(noun, interjection)",bror,أخ,walaalka,برادر,брат,brat,hermano,brat,vëlla
buddy,"(noun, verb)",kompis,صاحب,saaxiib,دوست,приятель,kumpel,compañero,drug,shok
bunch,"(noun, verb)",knippa,حزمة,bahal,دسته,купа,garść,racimo,gomila,tufë
chip,"(noun, verb)",chip,رقاقة,qori,تراشه,відколювати,żeton,chip,čip,çip
coach,"(noun, verb, adverb)",tränare,مدرب,gaari,مربی,тренер,trener,entrenador,trener,trainer
cross,"(noun, verb, adjective)",korsa,يعبر,macatab,صلیب,перехрестя,przechodzić,cruz,preći,kryqëzim
document,"(noun, verb)",dokumentera,وثيقة,warqad rasmi ah,مدرک,документ,dokument,documento,dokument,dokument
draft,"(noun, verb, adjective)",förslag,مسودة,warshad,پیش نویس,розтягувати,projekt,borrador,nacrt,hark
dust,"(noun, verb)",damm,تراب,habaas,گرد و خاک,пил,pył,polvo,prašina,pluhur
expert,"(noun, adjective)",expert,خبير,khabiir,کارشناس,експерт,ekspert,experto,stručnjak,ekspert
floor,"(noun, verb)",golv,أرضية,sagxad dhul,کف,підлога,podłoga,piso,pod,dysheme
god,"(noun, interjection)",Gud,إله,eebbe,خداوند,бог,Bóg,dios,Bog,zot
golf,"(noun, verb)",golf,الجولف,goolof,گلف,гольф,golf,golf,golf,golf
habit,"(noun, verb)",vana,عادة,caado,عادت داشتن,звичка,nawyk,hábito,navika,zakon
iron,"(noun, verb)",järn,حديد,feerayn,اهن,прасувати,żelazo,hierro,gvožđe,hekuros
judge,"(noun, verb)",bedöma,يحكم على,qaalli,داوری,судити,sędzia,juez,sudija,gjykoj
knife,"(noun, verb)",kniv,سكين,mindi,چاقو,нож,nóż,cuchillo,nož,thikë
landscape,"(noun, verb)",landskap,منظر جمالي,muuqaal dhir,چشم انداز,пейзаж,krajobraz,paisaje,pejzaž,peizazh
league,"(noun, verb)",liga,الدوري,hor HEM,لیگ,ліга,liga,liga,liga,kampionat
mail,"(noun, verb)",post,بريد,boosto,پست,пошта,Poczta,correo,pošti,postë
mess,"(noun, verb)",röra,فوضى,qasan,بهم ریختگی,плутати,bałagan,desorden,nered,rrëmujë
native,"(noun, adjective)",inföding,محلي,u dhashay,بومی,рідний,rodzinny,nativo,rođen,i lindur
opening,"(noun, adjective)",öppning,افتتاح,furitaan,افتتاح,відкриття,otwarcie,apertura,otvaranje,hapje
parent,"(noun, verb)",förälder,الأبوين,waalid,والدین,батько,rodzic,padre,roditelj,prind
pattern,"(noun, verb)",mönster,نمط,naqshad,الگو,схема,wzór,patrón,uzorak,model
pin,"(noun, verb)",stift,دبوس,musbaar yar,سنجاق,шпилька,szpilka,alfiler,pin,gjilpere
pool,"(noun, verb)",slå samman,حمام سباحة,barkad,استخر,басейн,basen,piscina,bazen,pishinë
pound,"(noun, verb)",pund,جنيه,shiidid,پندو,клопоти,funt,libra,funta,kunj
request,"(noun, verb)",begäran,طلب,codsi,درخواست,прохання,wniosek,pedido,zahtjev,kërkesë
salary,"(noun, verb)",lön,مرتب,mushaar,حقوق,зарплата,wynagrodzenie,salario,plata,rrogë
shame,"(noun, verb)",skam,عار,ceeb,شرم,ганьба,wstyd,lástima,sramota,turp
shelter,"(noun, verb)",skydd,مَأوىً,hooysiin,پناه,притулок,schronienie,refugio,sklonište,strehoj
shoe,"(noun, verb)",sko,حذاء,kab,کفش,взуття,but,zapato,cipela,këpucë
silver,"(noun, adjective, verb)",silver,فضة,qalin,نقره,срібний,srebro,plata,srebro,argjend
tackle,"(noun, verb)",tackla,يتصدى,laala taamb,برخورد با,снасть,przybory,abordar,pribor,takëm
tank,"(noun, verb)",tank,خزان,kaare,مخزن,танк,czołg,tanque,rezervoar,rezervuar
trust,"(noun, verb)",förtroende,يثق,aamminid,اعتماد,довіра,zaufanie,confianza,povjerenje,besim
assist,"(noun, verb)",hjälpa,يساعد,caawin,یاری کردن,сприяти,wspierać,asistir,pomoći,asistoj
bake,"(noun, verb)",baka,خبز,dubid,پخت,випікати,upiec,hornear,peći,piqem
bar,"(noun, verb, preposition)",bar,حاجِز,gabal fidsan,بار,бар,bar,bar,bar,shirit
bell,"(noun, verb)",klocka,جرس,gambaleel,زنگوله,дзвоник,dzwonek,campana,zvono,zile
bike,"(noun, verb)",cykel,دراجة هوائية,baaskiilo,دوچرخه,велосипед,rower,bicicleta,bicikl,biciklete
blame,"(noun, verb)",skylla,لوم,eedayn,سرزنش کردن,провина,winić,culpa,kriviti,faj
boy,"(noun, interjection)",pojke,ولد,wiil,پسر,хлопчик,chłopak,chico,dječak,djalë
brick,"(noun, verb)",tegel,قالب طوب,bulukeeti,آجر,цегляна,cegła,ladrillo,cigla,tullë
chair,"(noun, verb)",stol,كرسي,kursi,صندلی,крісло,krzesło,silla,stolica,karrige
closet,"(noun, verb, adjective)",garderob,خزانة,armaajo,کمد لباس,шафа,gabinet,armario,ormar,dollap
clue,"(noun, verb)",ledtråd,فكرة,tilmaan yar,سرنخ,підказка,wskazówka,clave,pojma,të dhëna
collar,"(noun, verb)",krage,طوق,kuleeti,یقه,комір,kołnierz,cuello,ovratnik,jakë
comment,"(noun, verb)",kommentar,تعليق,ka hadlid,اظهار نظر,коментувати,komentarz,comentario,komentar,koment
conference,"(noun, verb)",konferens,مؤتمر,shir,کنفرانس,конференція,konferencja,conferencia,konferencija,konferencë
devil,"(noun, verb)",jäkel,شيطان,shayddaan,شیطان,диявол,diabeł,demonio,đavo,djall
diet,"(noun, verb)",diet,نظام عذائي,cunto qadashada nidaamsan,رژیم غذایی,дієта,dieta,dieta,dijeta,dietë
fear,"(noun, verb)",rädsla,يخاف,cabsi,ترس,битися,strach,miedo,strah,frikë
fuel,"(noun, verb)",bränsle,وقود,shidaal,سوخت,паливо,paliwo,combustible,gorivo,karburant
glove,"(noun, verb)",handske,قفاز,gacan-gashi,دستکش,рукавичка,rękawica,guante,rukavica,dorezë
jacket,"(noun, verb)",jacka,السترة,jaakeet,ژاکت,куртка,kurtka,chaqueta,jakna,xhaketë
lunch,"(noun, verb)",lunch,غداء,qurac,ناهار,обід,obiad,almuerzo,ručak,drekë
monitor,"(noun, verb)",övervaka,شاشة,kaabba-galaas,نظارت,моніторинг,monitor,monitor,monitor,monitor
mortgage,"(noun, verb)",inteckning,القرض العقاري,deyn,رهن,застава,hipoteka,hipoteca,hipoteka,hipotekë
nurse,"(noun, verb)",sjuksköterska,ممرضة,kal-kaaliye caafimaad,پرستار,годувати,pielęgniarka,enfermero,medicinska sestra,ushqej
pace,"(noun, verb, preposition)",takt,خطوة,xawaare,سرعت,темп,tempo,paso,tempo,ritëm
panic,"(noun, verb)",panik,ذعر,cabsi,وحشت,паніка,panika,pánico,panika,panik
peak,"(noun, verb, adjective)",topp,قمة,fiin,اوج,вершина,szczyt,cima,vršak,kulm
plane,"(noun, adjective, verb)",plan,طائرة,diyaafe diyaafad,سطح,площина,samolot,avión,avion,aeroplan
reward,"(noun, verb)",pris,جائزة,abaalmarin,جایزه,нагорода,nagroda,premio,nagrada,shperblim
row,"(noun, verb)",rad,صف,tixid,ردیف,рядок,wiersz,fila,red,vozitje
sandwich,"(noun, verb)",smörgås,ساندويتش,rooti cunto la dhex gashay,ساندویچ,сендвіч,kanapka,sándwich,sendvič,sanduiç
shock,"(noun, verb)",chock,صدمة,argagax,شوکه شدن,шокувати,zaszokować,choque,šok,trondit
spite,"(noun, verb)",slingra sig,رغم,inka inkastoo,کوشش,злочин,uraza,despecho,uprljati,shpifje
spray,"(noun, verb)",spray,رذاذ,buufin,افشانه,розпилення,rozpylać,rociar,sprej,spërkat
surprise,"(noun, verb)",överraskning,مفاجأة,yaabin,تعجب,здивувати,niespodzianka,sorpresa,iznenađenje,befasoj
till,"(noun, verb)",till,حتى,ilaa,تا,до,do,hasta,do,deri
transition,"(noun, verb)",övergång,انتقال,kala guur ah,انتقال,перехід,przemiana,transición,prelazak,kalim
weekend,"(noun, verb)",helgen,عطلة نهاية الاسبوع,fasax asbuuc walba,تعطیلات آخر هفته,вихідні,weekend,fin de semana,vikend,fundjavë
welcome,"(noun, interjection, verb)",Välkommen,مرحباً,soo dhowayn,خوش آمدی,вітати,Witamy,bienvenido,dobrodošli,mirëseardhje
yard,"(noun, verb)",gård,حديقة منزل,deyr,حیاط,ярд,dziedziniec,patio,dvorište,oborr
alarm,"(noun, verb)",larm,إنذار,qaylo digniin ah,زنگ خطر. هشدار,тривога,alarm,alarma,alarm,alarm
bend,"(noun, verb)",böja,يلوي,galoocin,خم کردن,згинати,schylać się,doblar,saviti,përkulem
bicycle,"(noun, verb)",cykel,دراجة,baaskiil,دوچرخه,велосипед,rower,bicicleta,bicikl,biçikletë
bite,"(noun, verb)",bita,يعض,qaniin,نیش,укус,ugryzienie,morder,ujedati,kafshoj
blind,"(noun, verb, adjective)",blind,أعمى,indho la'aan,نابینا,сліпий,ślepy,ciego,slijepi,i verdhë
bottle,"(noun, verb)",flaska,زجاجة,dhalo,بطری,пляшка,butelka,botella,boca,shishe
cable,"(noun, verb)",kabel,كابل,fiilo koronto,کابل,кабель,kabel,cable,kabl,kabllo
candle,"(noun, verb)",ljus,شمعة,shumac,شمع,свічка,świeca,vela,svijeća,qiri
clerk,"(noun, verb)",kontorist,موظف,karraaniyad,منشی,канцелярський,urzędnik,oficinista,činovnik,nëpunës
cloud,"(noun, verb)",moln,سحاب,daruur,ابری,хмара,Chmura,nube,oblak,re
concert,"(noun, verb)",konsert,حفلة موسيقية,riwaayad,کنسرت,концерт,koncert,concierto,koncert,koncert
counter,"(noun, verb, adverb)",disken,عداد,miis dukaan,پیشخوان,протистояти,lada,encimera,šalter,kundër
flower,"(noun, verb)",blomma,ورد,ubax,گل,квітка,kwiat,flor,cvijet,lulëzim
grandfather,"(noun, verb)",farfar,جد,awoowe,بابا بزرگ,дід,Dziadek,abuelo,djed,gjysh
harm,"(noun, verb)",skada,ضرر,waxyeello,صدمه,шкода,szkoda,dañar,štetiti,dëmtoj
knee,"(noun, verb)",knä,ركبة,jilib,زانو,коліна,kolano,rodilla,koljeno,gjunjë
lawyer,"(noun, verb)",advokat,محامي,Garyaqaan,وکیل,юрист,prawnik,abogado,advokat,avokat
leather,"(noun, adjective, verb)",läder,جلد,maqaar,چرمی,шкіряний,skóra,cuero,koža,prej lëkure
load,"(noun, verb)",ladda,حمولة,xammuul,بار,навантажувати,obciążenie,carga,opteretiti,ngarkoj
mirror,"(noun, verb)",spegel,مرآة,muraayad,آینه,дзеркало,lustro,espejo,ogledalo,pasqyrë
